the_geom,uid,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,policeprct,censtract,factype,the_geom_webmercator,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,proptype,latitude,longitude,xcoord,ycoord,datasource,facsubgrp
0101000020E6100000CB8F8F573A7C52C0E94F70D116654440,dadfc76a67b0ab7afa8386d88d599ad9,"MANNA HOUSE WORKSHOPS, INC.",338,EAST 106 STREET,338 EAST 106TH STREET,NEW YORK,10029,Manhattan,1,1052766,1016770035,111,MN33,08,023,04,017000,"MULTI-DISCIPLINE, PERFORMING",0101000020110F00003399FC4F2A665FC197974D1BA1005341,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Manna House Workshops, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7897588537597,-73.9410609151811,1000570.67371156,227012.85096611,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E610000013AD26C5527F52C051DE7869C04F4440,63d3be31ecce2f2c9f496fececc9f9e4,MAPLETON LIBRARY,1702,60 STREET,1702 60 STREET,BROOKLYN,11204,Brooklyn,3,3132091,3055180004,312,BK88,44,066,20,024400,PUBLIC LIBRARY,0101000020110F0000DCBDCF546C6B5FC14DC3E83FB9E85241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.6230594482591,-73.9894268872925,987185.104892491,166273.914877414,bpl_libraries,PUBLIC LIBRARIES
0101000020E61000006D90AA5C2B7F52C095E56B7A4A5D4440,3b7526d322f552c60cdd151543c4b047,"MAPP INTERNATIONAL PRODUCTIONS, INC.",140,SECOND AVENUE,140 SECOND AVENUE,NEW YORK,10003,Manhattan,1,1006362,1004500006,103,MN22,02,009,01,003800,"MULTI-DISCIPL, PERF & NON-PERF",0101000020110F0000B23D8164296B5FC1E63A44B6E2F75241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"MAPP International Productions, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7288353945579,-73.9870216050783,987847.10356502,204811.217067738,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000324770ED937C52C09AB0644E0C674440,69fefdefc56f52cdc1ebc4e3179fa5c4,MARCUS GARVEY PARK ALLIANCE,17,WEST 121 STREET,17 WEST 121,NEW YORK,10027,Manhattan,1,1053355,1017200042,110,MN11,09,028,03,020000,"MULTI-DISCIPL, PERF & NON-PERF",0101000020110F0000A5677C7BC2665FC16622F4B8D3025341,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,Marcus Garvey Park Alliance,Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.8050630561495,-73.9465287777391,999053.178222941,232587.732238619,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000A1AE04D5E17C52C0555ABFCC86584440,1946037704265781cc7c3680b84a14ca,MARCY LIBRARY,617,DEKALB AVENUE,617 DEKALB AVENUE,BROOKLYN,11216,Brooklyn,3,3049472,3017740081,303,BK75,36,079,13,025300,PUBLIC LIBRARY,0101000020110F0000CFB8A9CF46675FC1BFF828288CF25241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,Brooklyn Public Library,BPL,Public,Brooklyn Public Library,BPL,City,,,,40.6916137632694,-73.9512836976742,997759.79514698,191253.741800091,bpl_libraries,PUBLIC LIBRARIES
0101000020E610000090C3C313A47952C005436AB0625F4440,4210e10c936c753674362359f9e216c8,"MARE NOSTRUM ELEMENTS, INC.",39-48,64 STREET,39-48 64TH STREET,WOODSIDE,11377,Queens,4,4030069,4012950032,402,QN63,26,108,24,026100,"MULTI-DISCIPLINE, PERFORMING",0101000020110F0000D21F9563C5615FC1646F92BC3BFA5241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Mare Nostrum Elements, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7451992529732,-73.9006394778974,1011782.08304913,210788.43510016,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000D5694D45D37F52C03AAF6FDE6F544440,f8c7456e4dbae08a94b913212efc5d2c,MARIE-CHRISTINE GIORDANO DANCE COMPANY,220,25 STREET,220 25TH STREET,BROOKLYN,11232,Brooklyn,3,3009615,3006550015,307,BK32,38,072,15,010100,DANCE,0101000020110F00009C1B3C9A466C5FC17657BDC2F7ED5241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,Marie-Christine Giordano Dance Company,Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.6596639676413,-73.9972699409476,985007.451037131,179609.771407747,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000D9AEEFCAE27E52C02A9DBD9D15624440,30ec583b90a58dbb6c0f9bb6566dc50b,"MARILYN HORNE FOUNDATION, INC.",250,WEST 57 STREET,250 WEST 57TH STREET,NEW YORK,10107,Manhattan,1,1024899,1010280056,105,MN17,03,018,02,013700,MUSIC,0101000020110F00007F695C20AE6A5FC1A5B5846542FD5241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,"Marilyn Horne Foundation, Inc.",Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.7662846732949,-73.9825923290877,989072.01426813,218455.403854118,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E6100000B60D100EC47B52C08AB9ED18E04D4440,7ef233681f7063f7cb9e9509c8835bf3,MARINE PARK COMMUNITY ASSOCIATION,3221,AVENUE S,3221 AVENUE S,BROOKLYN,11234,Brooklyn,3,3239890,3084990002,318,BK45,46,063,22,063600,"MULTI-DISCIPLINE, NON-PERFORM",0101000020110F0000A1A6D06361655FC1318332DB9FE65241,CULTURAL INSTITUTIONS,LIBRARIES AND CULTURAL PROGRAMS,Regional,Marine Park Community Association,Non-public,Non-public,NYC Department of Cultural Affairs,NYCDCLA,City,,,,40.6084014092222,-73.9338412434361,1002619.7575399,160940.367145575,dcla_culturalinstitutions,OTHER CULTURAL INSTITUTIONS
0101000020E61000007CEC2A90A98A52C0904737723D514440,064763b860cde504e91fc4ab0a22a6bb,MARINERS HARBOR LIBRARY,206,SOUTH AVENUE,206 SOUTH AVENUE,STATEN ISLAND,10303,Staten Island,5,5109138,5012660064,501,SI12,49,121,31,032300,PUBLIC LIBRARY,0101000020110F0000C71D7204AF7E5FC128CDFAA563EA5241,LIBRARIES,LIBRARIES AND CULTURAL PROGRAMS,Local,New York Public Library,NYPL,Non-public,New York Public Library,NYPL,City,,,,40.6346876878662,-74.1665993136575,938009.976822846,170554.187320791,nypl_libraries,PUBLIC LIBRARIES
